"Config","OCR_module","Filename","OCR_Time"
"109","TesseractOCR","example26",0.232000112533569
"109","KerasOCR","example26",10.1024849414825
"109","EasyOCR","example26",2.30347895622253
"109","PaddleOCR","example26",1.77193975448608
"109","docTR","example26",3.74338316917419
"133","TesseractOCR","example11",0.409695386886597
"133","KerasOCR","example11",15.087452173233
"133","EasyOCR","example11",2.26810073852539
"133","PaddleOCR","example11",4.97271585464478
"133","docTR","example11",6.00793862342834
"142","TesseractOCR","example20",2.18936395645142
"142","KerasOCR","example20",4.41007852554321
"142","EasyOCR","example20",2.44466066360474
"142","PaddleOCR","example20",4.15627527236938
"142","docTR","example20",5.41085934638977
"265","TesseractOCR","example17",2.65894627571106
"265","KerasOCR","example17",3.83402490615845
"265","EasyOCR","example17",2.4228777885437
"265","PaddleOCR","example17",5.20581340789795
"265","docTR","example17",5.24381041526794
"349","TesseractOCR","example23",0.854997873306274
"349","KerasOCR","example23",2.73982095718384
"349","EasyOCR","example23",2.37274718284607
"349","PaddleOCR","example23",1.09289121627808
"349","docTR","example23",3.79659581184387
"255","TesseractOCR","example19",0.62222695350647
"255","KerasOCR","example19",15.3038213253021
"255","EasyOCR","example19",2.47948145866394
"255","PaddleOCR","example19",3.12101364135742
"255","docTR","example19",6.46704411506653
"183","TesseractOCR","example5",1.72015929222107
"183","KerasOCR","example5",12.0818111896515
"183","EasyOCR","example5",2.24949479103088
"183","PaddleOCR","example5",5.85649657249451
"183","docTR","example5",3.93243765830994
"149","TesseractOCR","example21",0.943866968154907
"149","KerasOCR","example21",15.1584713459015
"149","EasyOCR","example21",2.442786693573
"149","PaddleOCR","example21",3.41119360923767
"149","docTR","example21",5.79439330101013
"308","TesseractOCR","example28",0.146106243133545
"308","KerasOCR","example28",14.4537122249603
"308","EasyOCR","example28",2.25813913345337
"308","PaddleOCR","example28",1.24406027793884
"308","docTR","example28",2.80215525627136
"373","TesseractOCR","example10",0.728979825973511
"373","KerasOCR","example10",6.92639708518982
"373","EasyOCR","example10",2.19967889785767
"373","PaddleOCR","example10",1.92405652999878
"373","docTR","example10",3.98237061500549
"57","TesseractOCR","example26",0.217075109481812
"57","KerasOCR","example26",2.45071697235107
"57","EasyOCR","example26",2.21038198471069
"57","PaddleOCR","example26",1.94254446029663
"57","docTR","example26",4.41823554039001
"143","TesseractOCR","example24",0.568751811981201
"143","KerasOCR","example24",3.7782986164093
"143","EasyOCR","example24",2.36900949478149
"143","PaddleOCR","example24",3.15022730827332
"143","docTR","example24",4.22425317764282
"228","TesseractOCR","example26",0.752660751342773
"228","KerasOCR","example26",9.72697710990906
"228","EasyOCR","example26",2.34180784225464
"228","PaddleOCR","example26",4.39822840690613
"228","docTR","example26",3.85369968414307
"28","TesseractOCR","example20",2.18331336975098
"28","KerasOCR","example20",4.35561680793762
"28","EasyOCR","example20",2.49499821662903
"28","PaddleOCR","example20",4.97275114059448
"28","docTR","example20",4.31122040748596
"46","TesseractOCR","example24",0.708438873291016
"46","KerasOCR","example24",15.090841293335
"46","EasyOCR","example24",2.40084385871887
"46","PaddleOCR","example24",4.51984906196594
"46","docTR","example24",4.13048100471497
"250","TesseractOCR","example2",2.12855863571167
"250","KerasOCR","example2",12.0848188400269
"250","EasyOCR","example2",2.28863286972046
"250","PaddleOCR","example2",5.72216534614563
"250","docTR","example2",6.1620569229126
"17","TesseractOCR","example31",0.744115352630615
"17","KerasOCR","example31",15.196352481842
"17","EasyOCR","example31",2.45280075073242
"17","PaddleOCR","example31",4.016197681427
"17","docTR","example31",4.28462815284729
"82","TesseractOCR","example26",0.339147806167603
"82","KerasOCR","example26",9.43134522438049
"82","EasyOCR","example26",2.29783773422241
"82","PaddleOCR","example26",1.84170937538147
"82","docTR","example26",4.44086289405823
"160","TesseractOCR","example13",1.20614385604858
"160","KerasOCR","example13",3.27914023399353
"160","EasyOCR","example13",2.2206768989563
"160","PaddleOCR","example13",3.88951945304871
"160","docTR","example13",3.77711701393127
"84","TesseractOCR","example26",0.30535888671875
"84","KerasOCR","example26",2.49683284759521
"84","EasyOCR","example26",2.2733473777771
"84","PaddleOCR","example26",1.93799471855164
"84","docTR","example26",2.97997283935547
"358","TesseractOCR","example2",0.408347368240356
"358","KerasOCR","example2",12.2395927906036
"358","EasyOCR","example2",2.27576994895935
"358","PaddleOCR","example2",1.536292552948
"358","docTR","example2",4.50486779212952
"356","TesseractOCR","example5",2.76899147033691
"356","KerasOCR","example5",11.7498614788055
"356","EasyOCR","example5",2.27869081497192
"356","PaddleOCR","example5",1.1594352722168
"356","docTR","example5",3.02609825134277
"348","TesseractOCR","example13",0.216233968734741
"348","KerasOCR","example13",1.84531497955322
"348","EasyOCR","example13",2.40486764907837
"348","PaddleOCR","example13",3.70741534233093
"348","docTR","example13",3.04525136947632
"76","TesseractOCR","example18",0.590839385986328
"76","KerasOCR","example18",3.81838059425354
"76","EasyOCR","example18",2.37130951881409
"76","PaddleOCR","example18",3.43378448486328
"76","docTR","example18",4.17332148551941
"123","TesseractOCR","example28",0.156886339187622
"123","KerasOCR","example28",1.84230828285217
"123","EasyOCR","example28",2.20698308944702
"123","PaddleOCR","example28",1.11494112014771
"123","docTR","example28",2.5083487033844
"333","TesseractOCR","example18",0.788929462432861
"333","KerasOCR","example18",5.58620524406433
"333","EasyOCR","example18",2.41330862045288
"333","PaddleOCR","example18",1.72221660614014
"333","docTR","example18",3.95040202140808
"167","TesseractOCR","example1",1.93038058280945
"167","KerasOCR","example1",3.62653946876526
"167","EasyOCR","example1",2.18280339241028
"167","PaddleOCR","example1",5.84491515159607
"167","docTR","example1",5.91635966300964
"48","TesseractOCR","example6",1.76180338859558
"48","KerasOCR","example6",3.45775008201599
"48","EasyOCR","example6",2.23843359947205
"48","PaddleOCR","example6",5.44014048576355
"48","docTR","example6",5.34167313575745
"364","TesseractOCR","example13",0.758627414703369
"364","KerasOCR","example13",14.3243269920349
"364","EasyOCR","example13",2.43917942047119
"364","PaddleOCR","example13",6.30186581611633
"364","docTR","example13",5.50182294845581
"112","TesseractOCR","example7",1.69154262542725
"112","KerasOCR","example7",3.56656932830811
"112","EasyOCR","example7",2.25370240211487
"112","PaddleOCR","example7",7.30923938751221
"112","docTR","example7",4.95840191841125
"80","TesseractOCR","example12",1.35396933555603
"80","KerasOCR","example12",8.15261459350586
"80","EasyOCR","example12",2.25400185585022
"80","PaddleOCR","example12",7.11624574661255
"80","docTR","example12",4.34088540077209
"239","TesseractOCR","example11",2.16473078727722
"239","KerasOCR","example11",12.6626799106598
"239","EasyOCR","example11",2.28438782691956
"239","PaddleOCR","example11",5.50583291053772
"239","docTR","example11",4.30405402183533
"272","TesseractOCR","example12",0.244876861572266
"272","KerasOCR","example12",2.3146231174469
"272","EasyOCR","example12",2.25294709205627
"272","PaddleOCR","example12",1.01872563362122
"272","docTR","example12",3.53357124328613
"40","TesseractOCR","example28",0.253289461135864
"40","KerasOCR","example28",14.3570454120636
"40","EasyOCR","example28",3.07641291618347
"40","PaddleOCR","example28",3.11567616462708
"40","docTR","example28",3.62051653862
"167","TesseractOCR","example12",2.18686127662659
"167","KerasOCR","example12",3.69273662567139
"167","EasyOCR","example12",2.22792840003967
"167","PaddleOCR","example12",8.80581474304199
"167","docTR","example12",5.16496849060059
"59","TesseractOCR","example30",0.561017036437988
"59","KerasOCR","example30",15.5744445323944
"59","EasyOCR","example30",2.4255199432373
"59","PaddleOCR","example30",4.08280611038208
"59","docTR","example30",5.99984645843506
"254","TesseractOCR","example4",0.54430890083313
"254","KerasOCR","example4",3.53082895278931
"254","EasyOCR","example4",2.35943388938904
"254","PaddleOCR","example4",2.843998670578
"254","docTR","example4",4.40010499954224
"313","TesseractOCR","example16",0.628154993057251
"313","KerasOCR","example16",16.0858359336853
"313","EasyOCR","example16",2.44416570663452
"313","PaddleOCR","example16",2.34410619735718
"313","docTR","example16",5.28191494941711
"318","TesseractOCR","example13",0.251977920532227
"318","KerasOCR","example13",2.38277721405029
"318","EasyOCR","example13",2.2120156288147
"318","PaddleOCR","example13",1.2243115901947
"318","docTR","example13",2.80228900909424
"168","TesseractOCR","example16",0.180030584335327
"168","KerasOCR","example16",1.83655834197998
"168","EasyOCR","example16",2.6409125328064
"168","PaddleOCR","example16",2.41075134277344
"168","docTR","example16",3.9232189655304
"201","TesseractOCR","example11",0.54127836227417
"201","KerasOCR","example11",3.75144743919373
"201","EasyOCR","example11",2.27892351150513
"201","PaddleOCR","example11",4.05590772628784
"201","docTR","example11",4.52665996551514
"216","TesseractOCR","example9",1.38610863685608
"216","KerasOCR","example9",3.04398417472839
"216","EasyOCR","example9",2.1926531791687
"216","PaddleOCR","example9",4.56940126419067
"216","docTR","example9",4.26015901565552
"108","TesseractOCR","example20",0.521126747131348
"108","KerasOCR","example20",4.4718759059906
"108","EasyOCR","example20",2.36079478263855
"108","PaddleOCR","example20",3.74857878684998
"108","docTR","example20",4.33521342277527
"363","TesseractOCR","example19",0.665909290313721
"363","KerasOCR","example19",11.0453636646271
"363","EasyOCR","example19",2.44116616249084
"363","PaddleOCR","example19",1.67327976226807
"363","docTR","example19",3.13596320152283
"205","TesseractOCR","example19",0.624733209609985
"205","KerasOCR","example19",3.7520067691803
"205","EasyOCR","example19",2.31499648094177
"205","PaddleOCR","example19",3.43323850631714
"205","docTR","example19",5.70945954322815
"233","TesseractOCR","example9",1.47799229621887
"233","KerasOCR","example9",3.17780494689941
"233","EasyOCR","example9",2.18360900878906
"233","PaddleOCR","example9",5.21036911010742
"233","docTR","example9",3.93867897987366
"178","TesseractOCR","example12",2.25755739212036
"178","KerasOCR","example12",4.00769829750061
"178","EasyOCR","example12",2.21590280532837
"178","PaddleOCR","example12",6.67609524726868
"178","docTR","example12",4.98560047149658
"2","TesseractOCR","example30",0.67719578742981
"2","KerasOCR","example30",4.82184934616089
"2","EasyOCR","example30",2.40188980102539
"2","PaddleOCR","example30",5.27542734146118
"2","docTR","example30",6.18572902679443
"51","TesseractOCR","example12",2.92566871643066
"51","KerasOCR","example12",3.65662217140198
"51","EasyOCR","example12",2.35108280181885
"51","PaddleOCR","example12",7.48889207839966
"51","docTR","example12",5.06683921813965
"258","TesseractOCR","example30",0.197288751602173
"258","KerasOCR","example30",1.94471263885498
"258","EasyOCR","example30",3.05885243415833
"258","PaddleOCR","example30",1.88109159469604
"258","docTR","example30",3.3560893535614
"228","TesseractOCR","example27",0.79439902305603
"228","KerasOCR","example27",13.6195418834686
"228","EasyOCR","example27",2.93079924583435
"228","PaddleOCR","example27",5.9183714389801
"228","docTR","example27",3.76192235946655
"90","TesseractOCR","example29",0.538298368453979
"90","KerasOCR","example29",3.83530521392822
"90","EasyOCR","example29",2.48796987533569
"90","PaddleOCR","example29",5.62285780906677
"90","docTR","example29",4.35760474205017
"174","TesseractOCR","example22",1.85425233840942
"174","KerasOCR","example22",16.9885880947113
"174","EasyOCR","example22",2.45780277252197
"174","PaddleOCR","example22",5.14263463020325
"174","docTR","example22",5.76137089729309
